date,unit,total_price
2026-08-12,6-483,2441.06
2026-08-12,9-488A,3522.06
2026-08-12,7-448,3628.06
2026-08-12,8-474A,2603.06
2026-08-12,6-481,2064.06
2026-08-12,6-483,2441.06
2026-08-12,9-488A,3522.06
2026-08-12,7-448,3628.06
2026-08-12,8-474A,2603.06
2026-08-12,6-481,2064.06
2026-08-13,6-483,2441.06
2026-08-13,9-488A,3522.06
2026-08-13,7-448,3628.06
2026-08-13,8-474A,2603.06
2026-08-13,6-481,2064.06
2026-08-15,6-483,2441.06
2026-08-15,9-488A,3522.06
2026-08-15,8-474A,2603.06
2026-08-15,6-481,2064.06
2026-08-16,6-483,2441.06
2026-08-16,9-488A,3522.06
2026-08-16,8-474A,2603.06
2026-08-16,6-481,2064.06
